PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2019;11;26;00011;V;00012;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00007;V;00007;V;00006;V;00006;V;00007;V;00006;V;00006;V;00006;V;00006;V;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2019;11;26;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2019;11;26;00002;V;00002;V;00003;V;00002;V;00002;V;00002;V;00002;V;00005;V;00016;V;00019;V;00018;V;00020;V;00027;V;00031;V;00014;V;00016;V;00016;V;00016;V;00019;V;00006;V;00007;V;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2019;11;26;00012;V;00012;V;00015;V;00007;V;00006;V;00008;V;00012;V;00030;V;00056;V;00061;V;00058;V;00052;V;00058;V;00055;V;00049;V;00047;V;00045;V;00039;V;00043;V;00037;V;00041;V;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2019;11;26;00016;V;00015;V;00019;V;00010;V;00008;V;00011;V;00015;V;00037;V;00080;V;00090;V;00086;V;00082;V;00099;V;00102;V;00070;V;00071;V;00069;V;00064;V;00071;V;00046;V;00052;V;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2019;11;26;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2019;11;26;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2019;11;26;00008;V;00008;V;00003;V;00002;V;00002;V;00003;V;00008;V;00024;V;00030;V;00036;V;00039;V;00028;V;00028;V;00032;V;00033;V;00029;V;00024;V;00031;V;00024;V;00023;V;00020;V;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2019;11;26;00030;V;00030;V;00017;V;00017;V;00013;V;00015;V;00027;V;00053;V;00058;V;00062;V;00060;V;00055;V;00053;V;00056;V;00057;V;00054;V;00047;V;00049;V;00049;V;00051;V;00046;V;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2019;11;26;00004;V;00003;V;00001;V;00003;V;00006;V;00003;V;00007;V;00003;V;00009;V;00001;V;00001;V;00005;V;00012;V;00014;V;00011;V;00012;V;00013;V;00002;V;00001;V;00007;V;00021;V;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2019;11;26;00006;V;00008;V;00002;V;00006;V;00011;V;00005;V;00014;V;00006;V;00016;V;00002;V;00006;V;00013;V;00019;V;00019;V;00017;V;00018;V;00021;V;00003;V;00001;V;00009;V;00026;V;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2019;11;26;00042;V;00043;V;00021;V;00020;V;00016;V;00019;V;00040;V;00090;V;00104;V;00117;V;00120;V;00098;V;00096;V;00104;V;00107;V;00098;V;00083;V;00096;V;00086;V;00087;V;00076;V;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2019;11;26;25.19;V;20.23;V;31.16;V;35.39;V;41.81;V;39.25;V;32.44;V;15.92;V;11.71;V;07.41;V;13.86;V;15.40;V;13.07;V;11.30;V;12.39;V;12.86;V;18.66;V;16.28;V;14.18;V;09.44;V;10.67;V;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2019;11;26;001.7;V;001.7;V;001.4;V;001.3;V;001.2;V;001.3;V;001.1;V;001.1;V;001.5;N;00000;N;00000;N;00000;N;00000;N;00000;N;004.1;N;004.2;V;003.8;V;002.6;V;003.2;V;002.9;V;002.3;V;00000;N;00000;N;00000;N
28;079;8;30;28079008_30_59;2019;11;26;000.4;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;N;00000;N;00000;N;00000;N;00000;N;00000;N;000.9;N;000.8;V;000.7;V;000.5;V;000.7;V;000.7;V;000.6;V;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2019;11;26;001.0;V;001.0;V;000.9;V;001.1;V;001.1;V;000.8;V;000.7;V;000.8;V;000.8;N;00000;N;00000;N;00000;N;00000;N;00000;N;001.8;N;001.5;V;001.4;V;000.9;V;001.3;V;001.4;V;001.4;V;00000;N;00000;N;00000;N
28;079;8;42;28079008_42_2;2019;11;26;01.76;V;01.76;V;01.74;V;01.74;V;01.72;V;01.73;V;01.72;V;01.71;V;01.66;V;01.77;V;01.69;V;01.63;V;01.65;V;01.64;V;01.60;V;01.62;V;01.58;V;01.58;V;01.58;V;01.59;V;01.59;V;00000;N;00000;N;00000;N
28;079;8;43;28079008_43_2;2019;11;26;01.53;V;01.53;V;01.53;V;01.52;V;01.52;V;01.52;V;01.52;V;01.52;V;01.52;V;01.53;V;01.54;V;01.53;V;01.53;V;01.53;V;01.53;V;01.52;V;01.51;V;01.50;V;01.50;V;01.51;V;01.51;V;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2019;11;26;00.23;V;00.23;V;00.21;V;00.22;V;00.20;V;00.21;V;00.20;V;00.19;V;00.14;V;00.24;V;00.16;V;00.11;V;00.12;V;00.11;V;00.08;V;00.09;V;00.07;V;00.07;V;00.08;V;00.09;V;00.08;V;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2019;11;26;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00015;V;00022;V;00019;V;00019;V;00048;V;00060;V;00035;V;00027;V;00012;V;00009;V;00014;V;00027;V;00026;V;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2019;11;26;00016;V;00012;V;00017;V;00007;V;00006;V;00007;V;00012;V;00026;V;00056;V;00068;V;00062;V;00055;V;00072;V;00078;V;00067;V;00060;V;00047;V;00040;V;00046;V;00062;V;00059;V;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2019;11;26;00017;V;00013;V;00019;V;00009;V;00008;V;00009;V;00015;V;00031;V;00078;V;00101;V;00091;V;00084;V;00146;V;00170;V;00120;V;00101;V;00065;V;00054;V;00068;V;00104;V;00098;V;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2019;11;26;000.9;V;001.3;V;001.2;V;000.8;V;000.8;V;001.0;V;000.6;V;000.6;V;001.1;V;002.7;V;003.2;V;002.5;V;004.4;V;006.4;V;005.7;V;004.6;V;003.5;V;002.8;V;002.3;V;003.3;V;003.2;V;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2019;11;26;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.4;V;000.4;V;000.3;V;000.6;V;000.7;V;000.7;V;000.6;V;000.4;V;000.3;V;000.2;V;000.5;V;000.5;V;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2019;11;26;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.4;V;000.3;V;000.4;V;000.6;V;000.5;V;000.5;V;000.4;V;000.3;V;000.2;V;000.3;V;000.4;V;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2019;11;26;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2019;11;26;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00006;V;00017;V;00025;V;00030;V;00015;V;00018;V;00015;V;00018;V;00019;V;00018;V;00015;V;00016;V;00014;V;00009;V;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2019;11;26;00022;V;00016;V;00014;V;00009;V;00006;V;00008;V;00018;V;00031;V;00056;V;00061;V;00063;V;00052;V;00051;V;00045;V;00048;V;00052;V;00050;V;00043;V;00050;V;00049;V;00037;V;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2019;11;26;00023;V;00018;V;00016;V;00010;V;00007;V;00010;V;00022;V;00041;V;00083;V;00100;V;00109;V;00075;V;00079;V;00067;V;00076;V;00081;V;00077;V;00066;V;00075;V;00070;V;00050;V;00000;N;00000;N;00000;N
28;079;16;14;28079016_14_6;2019;11;26;31.40;V;35.89;V;36.69;V;43.14;V;49.73;V;48.28;V;42.15;V;34.73;V;13.94;V;09.78;V;09.21;V;17.06;V;16.35;V;21.35;V;17.46;V;13.75;V;15.98;V;19.20;V;11.99;V;11.42;V;17.26;V;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2019;11;26;00007;V;00006;V;00006;V;00006;V;00006;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00006;V;00007;V;00007;V;00006;V;00006;V;00006;V;00006;V;00006;V;00007;V;00005;V;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2019;11;26;00002;V;00001;V;00002;V;00002;V;00002;V;00003;V;00008;V;00013;V;00015;V;00026;V;00013;V;00012;V;00012;V;00013;V;00014;V;00013;V;00011;V;00008;V;00012;V;00017;V;00010;V;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2019;11;26;00018;V;00011;V;00010;V;00009;V;00008;V;00012;V;00027;V;00046;V;00049;V;00061;V;00048;V;00047;V;00042;V;00044;V;00047;V;00046;V;00041;V;00036;V;00045;V;00052;V;00037;V;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2019;11;26;00021;V;00013;V;00012;V;00012;V;00011;V;00016;V;00040;V;00066;V;00072;V;00101;V;00068;V;00066;V;00061;V;00064;V;00069;V;00065;V;00058;V;00049;V;00064;V;00078;V;00052;V;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2019;11;26;32.51;V;39.59;V;41.76;V;42.21;V;44.47;V;44.10;V;33.82;V;19.05;V;19.43;V;08.46;V;22.01;V;18.12;V;22.09;V;21.74;V;19.42;V;19.46;V;21.84;V;24.03;V;16.13;V;10.52;V;17.74;V;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2019;11;26;00004;V;00005;V;00004;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00004;V;00003;V;00003;V;00004;V;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2019;11;26;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2019;11;26;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00007;V;00010;V;00021;V;00008;V;00011;V;00020;V;00012;V;00013;V;00015;V;00010;V;00005;V;00010;V;00011;V;00009;V;00000;N;00000;N;00000;N
